"ID","DATA","ID_KLIENT","ID_PLATNOSC"
1,18/08/20,18,26
2,13/08/14,49,21
3,11/11/13,45,14
4,11/02/10,45,10
5,12/01/07,21,31
6,10/01/23,37,10
7,10/06/29,7,17
8,20/11/17,19,7
9,20/03/04,43,29
10,13/07/20,24,28
11,18/02/12,7,6
12,17/09/05,3,32
13,13/05/09,8,9
14,12/05/21,8,15
15,19/10/27,46,31
16,19/07/24,42,24
17,19/11/25,19,14
18,10/02/21,23,7
19,20/07/17,37,19
20,10/05/22,50,30
21,11/05/20,38,27
22,19/03/21,11,11
23,13/01/18,23,6
24,17/12/07,16,23
25,15/08/19,30,9
26,15/05/15,31,11
27,13/07/19,26,12
28,16/11/15,26,15
29,19/06/29,38,29
30,20/10/08,8,1
31,11/08/04,37,33
32,10/01/22,44,27
33,17/12/07,21,5
34,13/07/21,29,31
35,10/07/29,4,11
36,16/03/23,47,30
37,20/05/09,19,11
38,16/09/30,32,4
39,16/02/03,11,17
40,13/02/26,7,21
41,16/01/07,26,2
42,16/01/04,34,19
43,10/11/09,32,18
44,20/09/27,4,18
45,10/11/22,16,7
46,16/02/15,13,29
47,12/10/10,17,28
48,11/09/17,8,14
49,20/04/02,49,12
50,12/09/09,41,11
51,12/07/02,45,31
52,14/06/26,13,11
53,16/05/01,44,18
54,13/09/30,18,14
55,20/05/10,4,25
56,18/07/19,14,30
57,11/09/04,30,3
58,16/10/20,29,31
59,10/05/01,31,23
60,10/10/17,7,23
61,10/08/20,36,1
62,18/04/06,38,21
63,11/01/05,31,30
64,18/01/01,30,1
65,14/12/20,33,5
66,15/08/28,7,1
67,12/08/01,36,5
68,15/05/22,35,1
69,18/10/01,34,13
70,17/01/17,9,23
71,15/11/22,33,4
72,16/09/14,16,24
73,11/12/02,38,28
74,19/06/10,1,10
75,20/02/01,49,22
76,14/08/23,49,25
77,16/03/23,46,30
78,19/09/10,28,17
79,18/02/09,41,32
80,16/12/25,4,30
81,18/04/21,35,17
82,13/09/18,46,1
83,14/06/26,5,25
84,19/03/07,15,3
85,11/12/21,49,24
86,10/05/06,2,25
87,16/12/08,28,28
88,19/04/08,49,12
89,17/12/24,50,33
90,13/03/04,5,17
91,10/06/15,32,28
92,15/10/19,23,23
93,20/07/09,47,16
94,16/08/01,20,33
95,12/12/10,31,14
96,18/05/04,4,12
97,15/04/19,4,31
98,15/02/01,29,13
99,15/11/16,4,13
100,18/02/04,33,12
101,10/08/30,8,17
102,11/02/23,49,12
103,14/06/24,47,30
104,16/01/18,50,27
105,15/05/11,48,27
106,11/05/30,21,6
107,13/07/14,8,26
108,12/10/03,33,32
109,10/04/09,42,1
110,20/04/18,39,4
111,10/12/10,43,27
112,15/05/27,6,17
113,15/09/20,26,32
114,19/11/17,28,29
115,12/09/05,24,15
116,10/04/26,43,27
117,14/10/08,1,29
118,11/10/29,37,24
119,15/12/10,15,25
120,13/11/11,6,33
121,19/11/15,1,23
122,19/01/17,25,14
123,17/04/21,10,17
124,19/07/07,29,28
125,18/05/06,25,24
126,17/04/20,17,16
127,20/11/08,27,13
128,15/08/08,39,25
129,10/12/19,16,20
130,20/02/29,40,33
131,20/02/25,1,18
132,12/12/11,36,5
133,11/10/30,1,30
134,17/10/29,48,25
135,10/03/30,41,26
136,18/08/19,16,24
137,14/11/16,45,26
138,10/02/02,6,13
139,16/11/22,15,23
140,13/07/29,20,32
141,15/12/27,36,26
142,20/09/26,26,18
143,20/05/29,50,29
144,14/11/08,44,29
145,19/01/28,41,12
146,16/06/14,49,26
147,20/11/24,40,28
148,10/12/10,43,7
149,20/10/11,44,11
150,17/02/14,2,32
151,11/03/08,47,21
152,12/12/05,46,8
153,18/09/07,7,11
154,17/07/21,26,26
155,17/03/26,37,29
156,11/08/26,45,8
157,15/02/25,7,5
158,19/02/10,14,11
159,10/03/24,2,10
160,10/09/02,30,12
161,15/12/27,49,30
162,19/04/13,37,7
163,11/08/13,34,29
164,19/07/13,42,4
165,10/10/20,21,6
166,12/02/11,23,18
167,19/10/02,45,10
168,11/08/21,41,4
169,17/10/13,36,23
170,11/02/14,47,23
171,10/01/05,10,28
172,14/10/12,31,8
173,15/09/04,16,25
174,16/06/04,45,1
175,15/09/09,22,8
176,17/06/30,25,20
177,10/03/14,23,15
178,18/07/25,47,7
179,10/01/08,17,20
180,10/08/24,44,29
181,19/09/05,40,22
182,13/12/24,27,7
183,20/07/11,49,19
184,20/11/18,25,22
185,19/06/24,3,17
186,18/02/10,42,18
187,13/02/05,40,7
188,11/07/26,44,27
189,16/03/05,50,29
190,16/12/26,45,25
191,18/08/13,42,8
192,16/03/15,4,33
193,14/09/27,36,24
194,18/03/05,36,21
195,12/06/24,29,5
196,18/09/03,9,3
197,11/09/08,36,25
198,11/11/02,41,25
199,17/07/06,50,20
200,13/12/12,26,11
201,20/06/04,3,8
202,14/01/22,46,11
203,14/02/27,10,32
204,10/08/06,48,33
205,18/07/08,27,33
206,10/09/23,31,25
207,12/12/14,19,6
208,20/10/10,44,22
209,11/11/02,35,13
210,19/05/26,37,33
211,19/05/11,25,23
212,18/08/15,2,18
213,14/11/15,36,22
214,16/04/23,34,18
215,20/06/22,27,16
216,13/05/07,35,7
217,16/06/08,20,16
218,17/01/09,19,20
219,16/01/06,29,31
220,10/02/15,16,4
221,11/12/05,16,31
222,10/08/04,45,24
223,15/10/28,35,9
224,11/03/20,50,27
225,14/09/04,38,15
226,14/12/25,3,27
227,11/02/14,31,33
228,20/08/17,11,15
229,12/10/11,22,22
230,12/03/27,30,33
231,10/06/25,34,18
232,19/05/23,39,14
233,16/03/23,25,27
234,16/10/25,16,22
235,10/09/22,35,25
236,17/05/14,5,32
237,14/03/02,15,18
238,13/04/08,15,15
239,20/06/13,25,10
240,10/12/27,32,12
241,13/01/29,41,5
242,20/02/21,14,27
243,15/10/28,15,2
244,14/12/25,35,14
245,12/03/22,44,18
246,20/10/14,25,17
247,10/01/07,49,31
248,12/09/07,1,11
249,14/06/04,32,1
250,16/05/04,26,5
251,16/05/27,19,28
252,10/01/14,36,3
253,16/05/06,24,18
254,13/04/17,14,4
255,13/05/29,10,8
256,19/11/25,33,9
257,18/10/10,7,27
258,20/06/24,1,18
259,18/12/16,47,11
260,20/05/06,32,20
261,10/03/05,44,15
262,17/12/22,35,11
263,12/10/12,15,5
264,10/02/07,35,26
265,10/02/25,9,12
266,17/02/19,4,10
267,11/02/21,29,28
268,10/05/30,30,10
269,15/09/03,12,28
270,18/09/22,44,1
271,16/03/21,21,28
272,13/11/18,1,26
273,15/01/15,44,8
274,10/02/25,10,3
275,12/05/29,40,2
276,14/03/12,29,2
277,17/02/06,43,31
278,17/06/21,42,1
279,18/08/25,6,17
280,18/08/24,28,16
281,19/04/23,2,32
282,20/06/15,42,26
283,15/09/25,31,22
284,13/06/15,17,9
285,11/09/09,34,14
286,18/02/06,28,33
287,14/04/30,15,30
288,11/02/18,36,9
289,17/07/02,37,18
290,12/05/24,1,9
291,15/11/05,25,15
292,20/04/20,18,8
293,17/05/19,32,6
294,20/04/15,34,21
295,12/09/11,8,19
296,11/03/25,12,4
297,14/05/24,44,30
298,20/12/06,38,31
299,16/06/20,41,7
300,16/11/24,34,28
301,15/05/04,18,6
302,17/11/12,27,14
303,18/02/20,49,1
304,20/03/03,24,10
305,20/04/29,9,3
306,12/06/22,8,29
307,17/12/06,43,2
308,18/11/05,26,27
309,14/11/19,4,26
310,19/12/06,13,22
311,11/08/28,50,14
312,20/12/19,37,18
313,16/02/21,24,24
314,12/03/20,27,12
315,15/02/09,25,21
316,18/11/14,17,3
317,19/09/24,15,21
318,20/08/08,3,2
319,14/01/18,16,24
320,18/09/20,16,12
321,11/08/02,32,5
322,10/06/17,17,16
323,16/11/01,24,31
324,14/09/03,37,15
325,12/11/03,20,7
326,19/05/29,5,32
327,15/05/26,11,20
328,10/08/22,5,16
329,16/06/17,5,14
330,10/01/26,50,11
331,14/04/24,38,13
332,14/09/12,17,6
333,16/10/05,17,25
334,11/05/08,30,27
335,20/01/12,41,17
336,12/09/20,48,9
337,20/12/23,32,32
338,18/01/06,16,21
339,12/03/23,30,22
340,15/02/16,44,32
341,10/12/26,42,6
342,10/12/21,45,10
343,15/10/30,21,30
344,14/03/07,41,9
345,20/11/11,16,14
346,15/08/17,27,30
347,14/02/19,30,22
348,20/02/14,34,28
349,15/04/13,41,6
350,13/05/22,39,30
351,12/07/10,10,4
352,18/10/13,8,31
353,13/09/07,31,17
354,13/01/09,47,7
355,18/01/26,23,19
356,18/07/09,29,13
357,11/10/02,3,15
358,12/01/02,12,14
359,14/12/03,12,24
360,13/10/04,44,19
361,11/12/14,31,23
362,14/04/05,6,30
363,13/05/22,26,8
364,10/01/08,32,30
365,13/05/05,36,30
366,15/05/05,47,11
367,15/10/25,34,30
368,14/12/02,12,26
369,11/03/04,22,12
370,14/04/09,14,21
371,13/01/22,50,17
372,15/09/16,27,32
373,12/02/08,42,8
374,11/06/30,49,21
375,10/01/24,38,8
376,11/01/22,36,25
377,12/10/26,32,9
378,13/06/24,23,22
379,19/04/12,37,7
380,20/09/01,42,13
381,16/07/29,5,10
382,18/09/27,10,2
383,14/09/25,45,26
384,16/07/29,33,33
385,10/11/23,27,33
386,14/05/04,36,11
387,12/12/23,32,27
388,11/08/18,50,17
389,11/02/01,42,27
390,13/02/03,27,4
391,19/08/07,8,27
392,10/07/25,22,10
393,18/03/24,16,20
394,20/09/16,27,14
395,11/08/06,4,5
396,20/04/25,43,3
397,20/05/20,7,24
398,15/02/22,22,20
399,12/03/04,38,15
400,13/03/05,22,13
